Date,Country,Opponent,GoalsScored,GoalsReceived,Venue,Competition,IsHome,ExtraTime,Penalties,PenScored,PenReceived
1998-06-21,Argentina,Jamaica,5,0,Paris,FIFA World Cup,FALSE,FALSE,FALSE,0,0
2006-06-24,Argentina,Mexico,2,1,Leipzig,FIFA World Cup,FALSE,TRUE,FALSE,0,0
2010-06-27,Argentina,Mexico,3,1,Johannesburg,FIFA World Cup,FALSE,FALSE,FALSE,0,0
1996-04-24,Argentina,Bolivia,3,1,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1996-06-02,Argentina,Ecuador,0,2,Quito,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1996-07-07,Argentina,Peru,0,0,Lima,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1996-09-01,Argentina,Paraguay,1,1,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1996-10-09,Argentina,Venezuela,5,2,San Cristobal,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1996-12-15,Argentina,Chile,1,1,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-01-12,Argentina,Uruguay,0,0,Montevideo,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-02-12,Argentina,Colombia,1,0,Barranquilla,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-04-02,Argentina,Bolivia,1,2,La Paz,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-04-30,Argentina,Ecuador,2,1,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-06-08,Argentina,Peru,2,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-07-06,Argentina,Paraguay,2,1,Asuncion,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-07-20,Argentina,Venezuela,2,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-09-10,Argentina,Chile,2,1,Santiago de Chile,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-10-12,Argentina,Uruguay,0,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-11-16,Argentina,Colombia,1,1,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2000-03-29,Argentina,Chile,4,1,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2000-04-26,Argentina,Venezuela,4,0,Maracaibo,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2000-06-04,Argentina,Bolivia,1,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2000-06-29,Argentina,Colombia,3,1,Bogota,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2000-07-19,Argentina,Ecuador,2,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2000-07-26,Argentina,Brazil,1,3,Sao Paulo,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2000-08-16,Argentina,Paraguay,1,1,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2000-09-03,Argentina,Peru,2,1,Lima,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2000-10-08,Argentina,Uruguay,2,1,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2000-11-15,Argentina,Chile,2,0,Santiago de Chile,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2001-03-28,Argentina,Venezuela,5,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2001-04-25,Argentina,Bolivia,3,3,La Paz,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2001-06-03,Argentina,Colombia,3,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2001-08-15,Argentina,Ecuador,2,0,Quito,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2001-09-05,Argentina,Brazil,2,1,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2001-10-07,Argentina,Paraguay,2,2,Asuncion,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2001-11-08,Argentina,Peru,2,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2001-11-14,Argentina,Uruguay,1,1,Montevideo,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2003-09-03,Argentina,Chile,2,2,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2003-09-09,Argentina,Venezuela,3,0,Caracas,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2003-11-15,Argentina,Bolivia,3,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2003-11-19,Argentina,Colombia,1,1,Barranquilla,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2004-03-30,Argentina,Ecuador,1,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2004-06-02,Argentina,Brazil,1,3,Belo Horizonte,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2004-06-06,Argentina,Paraguay,0,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2004-09-04,Argentina,Peru,3,1,Lima,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2004-10-09,Argentina,Uruguay,4,2,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2004-10-13,Argentina,Chile,0,0,Santiago de Chile,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2004-11-17,Argentina,Venezuela,3,2,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2005-03-26,Argentina,Bolivia,2,1,La Paz,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2005-03-30,Argentina,Colombia,1,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2005-06-04,Argentina,Ecuador,0,2,Quito,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2005-06-08,Argentina,Brazil,3,1,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2005-09-03,Argentina,Paraguay,0,1,Asuncion,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2005-10-09,Argentina,Peru,2,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2005-10-12,Argentina,Uruguay,0,1,Montevideo,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2007-10-13,Argentina,Chile,2,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2007-10-16,Argentina,Venezuela,2,0,Maracaibo,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2007-11-17,Argentina,Bolivia,3,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2007-11-20,Argentina,Colombia,1,2,Bogota,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2008-06-15,Argentina,Ecuador,1,1,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2008-06-18,Argentina,Brazil,0,0,Belo Horizonte,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2008-09-06,Argentina,Paraguay,1,1,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2008-09-10,Argentina,Peru,1,1,Lima,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2008-10-11,Argentina,Uruguay,2,1,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2008-10-15,Argentina,Chile,0,1,Santiago de Chile,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2009-03-28,Argentina,Venezuela,4,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2009-04-01,Argentina,Bolivia,1,6,La Paz,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2009-06-06,Argentina,Colombia,1,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2009-06-10,Argentina,Ecuador,0,2,Quito,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2009-09-05,Argentina,Brazil,1,3,Rosario,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2009-09-09,Argentina,Paraguay,0,1,Asuncion,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2009-10-10,Argentina,Peru,2,1,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2009-10-14,Argentina,Uruguay,1,0,Montevideo,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2011-10-07,Argentina,Chile,4,1,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2011-10-11,Argentina,Venezuela,0,1,Puerto La Cruz,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2011-11-11,Argentina,Bolivia,1,1,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2011-11-15,Argentina,Colombia,2,1,Barranquilla,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2012-06-02,Argentina,Ecuador,4,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2012-09-07,Argentina,Paraguay,3,1,Cordoba,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2012-09-11,Argentina,Peru,1,1,Lima,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2012-10-12,Argentina,Uruguay,3,0,Mendoza,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2012-10-16,Argentina,Chile,2,1,Santiago de Chile,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2013-03-22,Argentina,Venezuela,3,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2013-03-26,Argentina,Bolivia,1,1,La Paz,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2013-06-07,Argentina,Colombia,0,0,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2013-06-11,Argentina,Ecuador,1,1,Quito,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2013-09-10,Argentina,Paraguay,5,2,Asuncion,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2013-10-11,Argentina,Peru,3,1,Buenos Aires,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2013-10-15,Argentina,Uruguay,2,3,Montevideo,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1995-07-08,Argentina,Bolivia,2,1,Paysandu,Copa America,FALSE,FALSE,FALSE,0,0
1995-07-11,Argentina,Chile,4,0,Paysandu,Copa America,FALSE,FALSE,FALSE,0,0
1995-07-14,Argentina,USA,0,3,Paysandu,Copa America,FALSE,FALSE,FALSE,0,0
1995-07-17,Argentina,Brazil,2,2,Rivera,Copa America,FALSE,FALSE,TRUE,2,4
1997-06-11,Argentina,Ecuador,0,0,Cochabamba,Copa America,FALSE,FALSE,FALSE,0,0
1997-06-14,Argentina,Chile,2,0,Cochabamba,Copa America,FALSE,FALSE,FALSE,0,0
1997-06-17,Argentina,Paraguay,1,1,Cochabamba,Copa America,FALSE,FALSE,FALSE,0,0
1997-06-21,Argentina,Peru,1,2,Sucre,Copa America,FALSE,FALSE,FALSE,0,0
1999-07-01,Argentina,Ecuador,3,1,Luque,Copa America,FALSE,FALSE,FALSE,0,0
1999-07-04,Argentina,Colombia,0,3,Luque,Copa America,FALSE,FALSE,FALSE,0,0
1999-07-07,Argentina,Uruguay,2,0,Luque,Copa America,FALSE,FALSE,FALSE,0,0
1999-07-11,Argentina,Brazil,1,2,Ciudad del Este,Copa America,FALSE,FALSE,FALSE,0,0
2004-07-07,Argentina,Ecuador,6,1,Chiclayo,Copa America,FALSE,FALSE,FALSE,0,0
2004-07-10,Argentina,Mexico,0,1,Chiclayo,Copa America,FALSE,FALSE,FALSE,0,0
2004-07-13,Argentina,Uruguay,4,2,Piura,Copa America,FALSE,FALSE,FALSE,0,0
2004-07-17,Argentina,Peru,1,0,Chiclayo,Copa America,FALSE,FALSE,FALSE,0,0
2004-07-20,Argentina,Colombia,3,0,Lima,Copa America,FALSE,FALSE,FALSE,0,0
2004-07-25,Argentina,Brazil,2,2,Lima,Copa America,FALSE,FALSE,TRUE,2,4
2007-06-28,Argentina,USA,4,1,Maracaibo,Copa America,FALSE,FALSE,FALSE,0,0
2007-07-02,Argentina,Colombia,4,2,Maracaibo,Copa America,FALSE,FALSE,FALSE,0,0
2007-07-05,Argentina,Paraguay,1,0,Barquisimeto,Copa America,FALSE,FALSE,FALSE,0,0
2007-07-08,Argentina,Peru,4,0,Barquisimeto,Copa America,FALSE,FALSE,FALSE,0,0
2007-07-11,Argentina,Mexico,3,0,Puerto Ordaz,Copa America,FALSE,FALSE,FALSE,0,0
2007-07-15,Argentina,Brazil,0,3,Maracaibo,Copa America,FALSE,FALSE,FALSE,0,0
2011-07-01,Argentina,Bolivia,1,1,La Plata,Copa America,TRUE,FALSE,FALSE,0,0
2011-07-06,Argentina,Colombia,0,0,Cordoba,Copa America,TRUE,FALSE,FALSE,0,0
2011-07-11,Argentina,Costa Rica,3,0,Cordoba,Copa America,TRUE,FALSE,FALSE,0,0
2011-07-16,Argentina,Uruguay,1,1,Santa Fe,Copa America,TRUE,TRUE,TRUE,4,5
2005-06-26,Argentina,Mexico,1,1,Hannover,FIFA Confederations Cup,FALSE,TRUE,TRUE,6,5
2005-06-29,Argentina,Brazil,1,4,Frankfurt am Main,FIFA Confederations Cup,FALSE,FALSE,FALSE,0,0
1998-06-27,Chile,Brazil,1,4,Paris,FIFA World Cup,FALSE,FALSE,FALSE,0,0
2010-06-28,Chile,Brazil,0,3,Johannesburg,FIFA World Cup,FALSE,FALSE,FALSE,0,0
2014-06-28,Chile,Brazil,1,1,Belo Horizonte,FIFA World Cup,FALSE,TRUE,TRUE,2,3
1996-96-02,Chile,Venezuela,1,1,Barinas,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1996-07-06,Chile,Ecuador,4,1,Santiago de Chile,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1996-09-01,Chile,Colombia,1,4,Barranquilla,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1996-10.09,Chile,Paraguay,1,2,Asuncion,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1996-11-12,Chile,Uruguay,1,0,Santiago de Chile,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1996-12-15,Chile,Argentina,1,1,Buenos Aires,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-01-12,Chile,Peru,1,2,Lima,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-02-12,Chile,Bolivia,1,1,La Paz,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-04-29,Chile,Venezuela,6,0,Santiago de Chile,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-06-08,Chile,Ecuador,1,1,Quito,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-07-05,Chile,Colombia,4,1,Santiago de Chile,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-07-20,Chile,Paraguay,2,1,Santiago de Chile,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-08-20,Chile,Uruguay,0,1,Montevideo,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-09-10,Chile,Argentina,1,2,Santiago de Chile,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-10-12,Chile,Peru,4,0,Lima,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-11-16,Chile,Bolivia,3,0,Santiago de Chile,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2000-03-29,Chile,Argentina,1,4,Buenos Aires,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2000-04-26,Chile,Peru,1,1,Santiago de Chile,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2000-06-03,Chile,Uruguay,1,2,Montevideo,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2000-06-29,Chile,Paraguay,3,1,Santiago de Chile,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2000-07-19,Chile,Bolivia,0,1,La Paz,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2000-07-25,Chile,Venezuela,2,0,San Cristobal,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2000-08-15,Chile,Brazil,3,0,Santiago de Chile,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2000-09-02,Chile,Colombia,0,1,Santiago de Chile,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2000-10-08,Chile,Ecuador,0,1,Quito,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2000-11-15,Chile,Argentina,0,2,Santiago de Chile,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2001-03-27,Chile,Peru,1,3,Lima,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2001-04.24,Chile,Uruguay,0,1,Santiago de Chile,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2001-06-02,Chile,Paraguay,0,1,Asuncion,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2001-08-14,Chile,Bolivia,2,2,Santiago de Chile,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2001-09-04,Chile,Venezuela,0,2,Santiago de Chile,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2001-10-07,Chile,Brazil,0,2,Curitiba,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2001-11-07,Chile,Colombia,1,3,Bogota,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
